Gene	Lenth	Location1	Location2	GC
LINC01134	16853	chr1:3816936	chr1:3833789	0.57
RP13-614K11.1	14649	chr1:4000673	chr1:4015322	0.52
RP13-614K11.2	1831	chr1:4007209	chr1:4009040	0.51
RP5-1166F10.1	12636	chr1:4472111	chr1:4484747	0.44
RP1-37J18.1	410	chr1:4611795	chr1:4612205	0.47
RP1-37J18.2	11873	chr1:4631608	chr1:4643481	0.41
AJAP1	137802	chr1:4714792	chr1:4852594	0.52
RP11-542C10.1	4440	chr1:5146519	chr1:5150959	0.41
RP1-58B11.1	1696	chr1:5553038	chr1:5554734	0.52
RP11-154H17.1	80927	chr1:5647428	chr1:5728355	0.47
NPHP4	129662	chr1:5922871	chr1:6052533	0.50
KCNAB2	109727	chr1:6051526	chr1:6161253	0.56
AL035406.1	769	chr1:6100630	chr1:6101399	0.60
CHD5	78330	chr1:6161853	chr1:6240183	0.57
RPL22	28120	chr1:6241329	chr1:6269449	0.51
RP1-120G22.11	940	chr1:6264900	chr1:6265840	0.58
RNF207	15824	chr1:6265535	chr1:6281359	0.57
ICMT	14779	chr1:6281253	chr1:6296032	0.50
LINC00337	3204	chr1:6296300	chr1:6299504	0.54
HES3	1386	chr1:6304252	chr1:6305638	0.66
GPR153	13629	chr1:6307406	chr1:6321035	0.60
ACOT7	130122	chr1:6324329	chr1:6454451	0.54
RP1-202O8.3	836	chr1:6453615	chr1:6454451	0.63
HES2	12252	chr1:6472478	chr1:6484730	0.58
ESPN	36582	chr1:6484848	chr1:6521430	0.60
RP1-202O8.2	3972	chr1:6503094	chr1:6507066	0.61
TNFRSF25	5044	chr1:6521211	chr1:6526255	0.60
PLEKHG5	53969	chr1:6526152	chr1:6580121	0.59
NOL9	33188	chr1:6581407	chr1:6614595	0.48
TAS1R1	24576	chr1:6615241	chr1:6639817	0.53
ZBTB48	9279	chr1:6640061	chr1:6649340	0.58
KLHL21	23883	chr1:6650784	chr1:6674667	0.54
PHF13	10348	chr1:6673745	chr1:6684093	0.55
THAP3	10720	chr1:6684926	chr1:6695646	0.57
DNAJC11	67756	chr1:6694228	chr1:6761984	0.47
RP11-242F24.1	5375	chr1:6784697	chr1:6790072	0.48
RP11-312B8.1	951	chr1:6843952	chr1:6844903	0.60
CAMTA1	984382	chr1:6845384	chr1:7829766	0.48
RP11-334N17.1	5903	chr1:7068436	chr1:7074339	0.55
RP3-453P22.2	7266	chr1:7442548	chr1:7449814	0.53
RP4-549F15.1	458	chr1:7501156	chr1:7501614	0.48
RP11-338N10.1	1720	chr1:7753184	chr1:7754904	0.48
RP11-338N10.2	569	chr1:7758363	chr1:7758932	0.55
RP11-338N10.3	266	chr1:7760764	chr1:7761030	0.38
VAMP3	10163	chr1:7831329	chr1:7841492	0.43
PER3	60857	chr1:7844380	chr1:7905237	0.41
RP3-467L1.4	17100	chr1:7870302	chr1:7887402	0.39
UTS2	10429	chr1:7903143	chr1:7913572	0.41
TNFRSF9	21019	chr1:7979907	chr1:8000926	0.43
PARK7	31214	chr1:8014351	chr1:8045565	0.45
ERRFI1	21904	chr1:8064464	chr1:8086368	0.43
RP11-431K24.1	95964	chr1:8086798	chr1:8182762	0.43
RP11-431K24.3	6538	chr1:8268732	chr1:8275270	0.51
RP11-431K24.4	2339	chr1:8278250	chr1:8280589	0.47
SLC45A1	26341	chr1:8377886	chr1:8404227	0.52
RERE	465245	chr1:8412457	chr1:8877702	0.42
RP5-1115A15.1	10193	chr1:8484705	chr1:8494898	0.45
RP4-633I8.4	1191	chr1:8865919	chr1:8867110	0.45
ENO1	18247	chr1:8921061	chr1:8939308	0.50
ENO1-AS1	1059	chr1:8938894	chr1:8939953	0.59
CA6	29225	chr1:9005926	chr1:9035151	0.48
SLC2A7	23045	chr1:9063359	chr1:9086404	0.52
SLC2A5	53371	chr1:9095166	chr1:9148537	0.48
GPR157	28865	chr1:9160364	chr1:9189229	0.50
RP3-510D11.1	20612	chr1:9242066	chr1:9262678	0.53
RP3-510D11.2	9885	chr1:9242263	chr1:9252148	0.53
H6PD	36562	chr1:9294834	chr1:9331396	0.52
SPSB1	76652	chr1:9352939	chr1:9429591	0.54
RP13-392I16.1	2379	chr1:9561151	chr1:9563530	0.46
SLC25A33	45696	chr1:9599541	chr1:9645237	0.46
TMEM201	26003	chr1:9648932	chr1:9674935	0.59
PIK3CD	77382	chr1:9711790	chr1:9789172	0.51
C1orf200	1976	chr1:9712668	chr1:9714644	0.55
RP11-558F24.4	15129	chr1:9732484	chr1:9747613	0.50
CLSTN1	95500	chr1:9789084	chr1:9884584	0.47
CTNNBIP1	62060	chr1:9908334	chr1:9970394	0.51
RP11-84A14.5	1836	chr1:9908376	chr1:9910212	0.58
LZIC	21292	chr1:9982173	chr1:10003465	0.44
NMNAT1	42073	chr1:10003486	chr1:10045559	0.46
RBP7	18814	chr1:10057264	chr1:10076078	0.48
UBE4B	148407	chr1:10092890	chr1:10241297	0.44
KIF1B	170798	chr1:10270863	chr1:10441661	0.42
PGD	21552	chr1:10458649	chr1:10480201	0.48
RP4-736L20.3	796	chr1:10489938	chr1:10490734	0.61
APITD1	22051	chr1:10490159	chr1:10512210	0.48
APITD1-CORT	22051	chr1:10490159	chr1:10512210	0.48
CORT	2183	chr1:10509776	chr1:10511959	0.47
DFFA	16004	chr1:10516579	chr1:10532583	0.49
RP5-1113E3.3	783	chr1:10518612	chr1:10519395	0.50
PEX14	158470	chr1:10532345	chr1:10690815	0.45
CASZ1	160046	chr1:10696661	chr1:10856707	0.57
RP4-734G22.3	15092	chr1:10699298	chr1:10714390	0.61
C1orf127	35566	chr1:11006528	chr1:11042094	0.52
TARDBP	13382	chr1:11072414	chr1:11085796	0.44
MASP2	20710	chr1:11086580	chr1:11107290	0.50
RP4-635E18.8	869	chr1:11089716	chr1:11090585	0.43
SRM	5440	chr1:11114641	chr1:11120081	0.60
EXOSC10	33263	chr1:11126675	chr1:11159938	0.46
RP4-635E18.7	4626	chr1:11128528	chr1:11133154	0.50
RP4-635E18.6	2425	chr1:11159732	chr1:11162157	0.53
MTOR	155972	chr1:11166592	chr1:11322564	0.45
MTOR-AS1	5639	chr1:11203955	chr1:11209594	0.45
ANGPTL7	6640	chr1:11249398	chr1:11256038	0.46
UBIAD1	22843	chr1:11333263	chr1:11356106	0.48
PTCHD2	58418	chr1:11539223	chr1:11597641	0.53
RP1-69M21.2	3824	chr1:11669588	chr1:11673412	0.52
FBXO2	7418	chr1:11708424	chr1:11715842	0.61
FBXO44	8952	chr1:11714432	chr1:11723384	0.55
FBXO6	10230	chr1:11724181	chr1:11734411	0.55
MAD2L2	17170	chr1:11734537	chr1:11751707	0.54
DRAXIN	34128	chr1:11751786	chr1:11785914	0.53
AGTRAP	18718	chr1:11796141	chr1:11814859	0.54
C1orf167	27798	chr1:11821844	chr1:11849642	0.55
RP11-56N19.5	2542	chr1:11837134	chr1:11839676	0.57
MTHFR	21197	chr1:11845780	chr1:11866977	0.55
CLCN6	36994	chr1:11866207	chr1:11903201	0.48
NPPA-AS1	7062	chr1:11901074	chr1:11908136	0.51
NPPA	2636	chr1:11905766	chr1:11908402	0.54
NPPB	1467	chr1:11917521	chr1:11918988	0.54
KIAA2013	6837	chr1:11979648	chr1:11986485	0.56
PLOD1	41333	chr1:11994262	chr1:12035595	0.54
MFN2	33333	chr1:12040238	chr1:12073571	0.51
MIIP	12579	chr1:12079523	chr1:12092102	0.56
TNFRSF8	80830	chr1:12123434	chr1:12204264	0.51
TNFRSF1B	42225	chr1:12227060	chr1:12269285	0.55
VPS13D	281975	chr1:12290124	chr1:12572099	0.42
RP5-888M10.2	696	chr1:12587766	chr1:12588462	0.59
DHRS3	49798	chr1:12627939	chr1:12677737	0.51
RP11-474O21.5	344	chr1:12678906	chr1:12679250	0.56
AADACL4	22531	chr1:12704566	chr1:12727097	0.47
AADACL3	12608	chr1:12776118	chr1:12788726	0.46
C1orf158	17684	chr1:12806163	chr1:12823847	0.44
PRAMEF12	3065	chr1:12834984	chr1:12838049	0.53
PRAMEF1	5231	chr1:12851546	chr1:12856777	0.47
RP5-845O24.8	473	chr1:12882549	chr1:12883022	0.48
PRAMEF11	6796	chr1:12884468	chr1:12891264	0.48
HNRNPCL1	1317	chr1:12907261	chr1:12908578	0.46
PRAMEF2	4823	chr1:12916941	chr1:12921764	0.47
PRAMEF4	6980	chr1:12939045	chr1:12946025	0.48
PRAMEF10	5374	chr1:12952727	chr1:12958101	0.48
PRAMEF7	4119	chr1:12976450	chr1:12980569	0.50
PRAMEF6	119570	chr1:12998181	chr1:13117751	0.27
PRAMEF22	2838	chr1:13035543	chr1:13038381	0.51
WI2-3308P17.2	604	chr1:13052394	chr1:13052998	0.47
RP13-221M14.2	479	chr1:13146777	chr1:13147256	0.47
PRAMEF26	3225	chr1:13216356	chr1:13219581	0.48
PRAMEF3	3496	chr1:13328196	chr1:13331692	0.49
PRAMEF5	9238	chr1:13359819	chr1:13369057	0.47
PRAMEF8	4119	chr1:13386646	chr1:13390765	0.50
PRAMEF9	7015	chr1:13421176	chr1:13428191	0.48
RP11-219C24.10	479	chr1:13429634	chr1:13430113	0.48
PRAMEF13	5242	chr1:13447414	chr1:13452656	0.47
PRAMEF18	2833	chr1:13474689	chr1:13477522	0.52
PRAMEF16	3006	chr1:13495254	chr1:13498260	0.50
PRAMEF21	10877	chr1:13516066	chr1:13526943	0.47
PRAMEF15	7015	chr1:13641973	chr1:13648988	0.48
PRAMEF14	5242	chr1:13668269	chr1:13673511	0.47
PRAMEF19	3516	chr1:13694889	chr1:13698405	0.49
PRAMEF17	2997	chr1:13716092	chr1:13719089	0.50
PRAMEF20	10896	chr1:13736907	chr1:13747803	0.48
LRRC38	39098	chr1:13801445	chr1:13840543	0.50
RP4-597A16.2	3050	chr1:13839715	chr1:13842765	0.58
PDPN	34492	chr1:13909960	chr1:13944452	0.45
CTA-520D8.2	2599	chr1:13983806	chr1:13986405	0.53
PRDM2	124881	chr1:14026693	chr1:14151574	0.43
RP11-344F13.1	1227	chr1:14548386	chr1:14549613	0.37
RP4-704D23.1	2068	chr1:14675450	chr1:14677518	0.48
KAZN	519339	chr1:14925200	chr1:15444539	0.49
TMEM51	67948	chr1:15479028	chr1:15546976	0.48
C1orf195	6973	chr1:15490840	chr1:15497813	0.43
FHAD1	153011	chr1:15573768	chr1:15726779	0.47
RP3-467K16.2	17196	chr1:15653176	chr1:15670372	0.48
RP3-467K16.7	1298	chr1:15660662	chr1:15661960	0.51
RP3-467K16.4	6454	chr1:15729475	chr1:15735929	0.49
EFHD2	20448	chr1:15736391	chr1:15756839	0.57
CTRC	10802	chr1:15764935	chr1:15775737	0.52
CELA2A	15363	chr1:15783223	chr1:15798586	0.48
CELA2B	25491	chr1:15792404	chr1:15817895	0.49
CASP9	35702	chr1:15817327	chr1:15853029	0.49
DNAJC16	65566	chr1:15853308	chr1:15918874	0.45
RP4-680D5.8	345	chr1:15892106	chr1:15892451	0.37
AGMAT	12757	chr1:15898848	chr1:15911605	0.50
RP4-680D5.2	17490	chr1:15912631	chr1:15930121	0.47
DDI2	51544	chr1:15943995	chr1:15995539	0.42
RSC1A1	1853	chr1:15986364	chr1:15988217	0.43
RP4-680D5.9	255	chr1:16009368	chr1:16009623	0.53
PLEKHM2	50437	chr1:16010827	chr1:16061264	0.52
RP11-288I21.1	14177	chr1:16049214	chr1:16063391	0.61
SLC25A34	4991	chr1:16062900	chr1:16067891	0.59
RP11-169K16.4	9845	chr1:16066546	chr1:16076391	0.58
TMEM82	5560	chr1:16068917	chr1:16074477	0.59
FBLIM1	29987	chr1:16083102	chr1:16113089	0.54
RP11-169K16.9	14082	chr1:16160560	chr1:16174642	0.50
SPEN	92596	chr1:16174359	chr1:16266955	0.43
ZBTB17	34263	chr1:16268364	chr1:16302627	0.51
C1orf64	4571	chr1:16330731	chr1:16335302	0.52
RP11-5P18.5	511	chr1:16332655	chr1:16333166	0.55
HSPB7	5566	chr1:16340523	chr1:16346089	0.61
CLCNKA	15175	chr1:16345370	chr1:16360545	0.60
CLCNKB	13531	chr1:16370272	chr1:16383803	0.59
FAM131C	15863	chr1:16384264	chr1:16400127	0.58
EPHA2	31750	chr1:16450832	chr1:16482582	0.57
RP11-276H7.2	2118	chr1:16481706	chr1:16483824	0.61
RP11-276H7.3	2617	chr1:16485761	chr1:16488378	0.51
ARHGEF19-AS1	503	chr1:16524349	chr1:16524852	0.50
ARHGEF19	14755	chr1:16524349	chr1:16539104	0.57
C1orf134	670	chr1:16555368	chr1:16556038	0.53
RSG1	5462	chr1:16558195	chr1:16563657	0.54
FBXO42	105615	chr1:16573334	chr1:16678949	0.44
SZRD1	45570	chr1:16679070	chr1:16724640	0.48
SPATA21	50307	chr1:16713612	chr1:16763919	0.50
NECAP2	19406	chr1:16767167	chr1:16786573	0.49
RP4-798A10.2	7533	chr1:16787443	chr1:16794976	0.46
RP4-798A10.7	1109	chr1:16841140	chr1:16842249	0.41
RP4-798A10.4	1102	chr1:16847189	chr1:16848291	0.56
U1	1763	chr1:16860381	chr1:16862144	0.59
FAM231B	509	chr1:16865561	chr1:16866070	0.57
NBPF1	51243	chr1:16888814	chr1:16940057	0.44
RP5-1182A14.5	338	chr1:16943886	chr1:16944224	0.40
CROCCP2	26427	chr1:16944751	chr1:16971178	0.53
FAM231A	509	chr1:16999498	chr1:17000007	0.58
FAM231C	509	chr1:17060447	chr1:17060956	0.58
CROCC	232706	chr1:17066768	chr1:17299474	0.39
RP11-108M9.1	1872	chr1:17177752	chr1:17179624	0.45
RP11-108M9.2	3877	chr1:17181902	chr1:17185779	0.44
RP11-108M9.4	1111	chr1:17215033	chr1:17216144	0.57
RP11-108M9.6	437	chr1:17230834	chr1:17231271	0.41
MFAP2	6333	chr1:17300997	chr1:17307330	0.63
RP1-37C10.3	26165	chr1:17305421	chr1:17331586	0.57
ATP13A2	25970	chr1:17312453	chr1:17338423	0.57
SDHB	35448	chr1:17345217	chr1:17380665	0.44
PADI2	52692	chr1:17393256	chr1:17445948	0.52
RP11-380J14.1	7834	chr1:17516278	chr1:17524112	0.54
PADI1	40879	chr1:17531621	chr1:17572500	0.53
PADI3	35135	chr1:17575593	chr1:17610728	0.51
PADI4	55809	chr1:17634690	chr1:17690499	0.49
AC004824.2	20563	chr1:17655507	chr1:17676070	0.51
RP1-20B21.4	622	chr1:17733256	chr1:17733878	0.50
RCC2	32964	chr1:17733256	chr1:17766220	0.52
ARHGEF10L	158039	chr1:17866330	chr1:18024369	0.54
RP11-473A10.2	32291	chr1:18044182	chr1:18076473	0.51
ACTL8	71750	chr1:18081808	chr1:18153558	0.48
RP11-174G17.2	8755	chr1:18392151	chr1:18400906	0.50
IGSF21	270737	chr1:18434240	chr1:18704977	0.50
RP11-174G17	12417	chr1:18493423	chr1:18505840	0.50
RP11-422P22.1	2685	chr1:18712323	chr1:18715008	0.51
KLHDC7A	5054	chr1:18807424	chr1:18812478	0.58
PAX7	117860	chr1:18957500	chr1:19075360	0.52
TAS1R2	20083	chr1:19166093	chr1:19186176	0.50
RP13-279N23.2	71848	chr1:19175767	chr1:19247615	0.54
ALDH4A1	31349	chr1:19197926	chr1:19229275	0.55
IFFO2	52405	chr1:19230775	chr1:19283180	0.54
UBR4	135770	chr1:19401000	chr1:19536770	0.44
RP1-43E13.2	30203	chr1:19536995	chr1:19567198	0.46
EMC1	35888	chr1:19542158	chr1:19578046	0.47
MRTO4	8589	chr1:19578033	chr1:19586622	0.53
AKR7A3	6692	chr1:19609052	chr1:19615744	0.55
AKR7A2	8181	chr1:19630459	chr1:19638640	0.53
PQLC2	16974	chr1:19638820	chr1:19655794	0.55
CAPZB	146799	chr1:19665267	chr1:19812066	0.49
RP5-1056L3.1	5030	chr1:19918296	chr1:19923326	0.43
MINOS1-NBL1	61076	chr1:19923473	chr1:19984549	0.47
MINOS1	32837	chr1:19923477	chr1:19956314	0.43
NBL1	17897	chr1:19967048	chr1:19984945	0.57
HTR6	14275	chr1:19991780	chr1:20006055	0.53
TMCO4	117732	chr1:20008706	chr1:20126438	0.49
RNF186	1248	chr1:20140523	chr1:20141771	0.58
RP11-91K11.2	5135	chr1:20140860	chr1:20145995	0.50
OTUD3	30432	chr1:20209006	chr1:20239438	0.41
PLA2G2E	3608	chr1:20246502	chr1:20250110	0.60
PLA2G2A	5007	chr1:20301925	chr1:20306932	0.52
PLA2G5	63011	chr1:20354672	chr1:20417683	0.45
PLA2G2D	7618	chr1:20438432	chr1:20446050	0.51
PLA2G2F	11060	chr1:20465819	chr1:20476879	0.56
RP3-340N1.2	6230	chr1:20480831	chr1:20487061	0.49
PLA2G2C	16171	chr1:20487746	chr1:20503917	0.52
UBXN10-AS1	2244	chr1:20510735	chr1:20512979	0.57
UBXN10	9963	chr1:20512578	chr1:20522541	0.47
RP3-340N1.6	1560	chr1:20569588	chr1:20571148	0.44
VWA5B1	63975	chr1:20617412	chr1:20681387	0.50
RP4-745E8.2	28976	chr1:20620704	chr1:20649680	0.51
LINC01141	70655	chr1:20687072	chr1:20757727	0.49
RP4-749H3.2	949	chr1:20738797	chr1:20739746	0.47
CAMK2N1	3829	chr1:20808884	chr1:20812713	0.58
MUL1	8711	chr1:20825943	chr1:20834654	0.48
FAM43B	2580	chr1:20878932	chr1:20881512	0.68
CDA	29960	chr1:20915441	chr1:20945401	0.49
PINK1	18056	chr1:20959948	chr1:20978004	0.51
PINK1-AS	9536	chr1:20969150	chr1:20978686	0.49
DDOST	9730	chr1:20978270	chr1:20988000	0.51
KIF17	54003	chr1:20990507	chr1:21044510	0.53
SH2D5	13105	chr1:21046225	chr1:21059330	0.61
RP5-930J4.2	1072	chr1:21059373	chr1:21060445	0.52
HP1BP3	44662	chr1:21069154	chr1:21113816	0.41
RP5-930J4.4	975	chr1:21069480	chr1:21070455	0.41
EIF4G3	370414	chr1:21132963	chr1:21503377	0.39
ECE1	128257	chr1:21543740	chr1:21671997	0.52
RP3-329E20.2	1169	chr1:21592575	chr1:21593744	0.53
RP5-1071N3.1	6484	chr1:21619783	chr1:21626267	0.52
RP11-293F5.1	1594	chr1:21742391	chr1:21743985	0.42
NBPF3	44877	chr1:21766621	chr1:21811498	0.43
ALPL	69047	chr1:21835858	chr1:21904905	0.52
RP11-63N8.3	4715	chr1:21912965	chr1:21917680	0.59
RAP1GAP	73093	chr1:21922708	chr1:21995801	0.57
USP48	105308	chr1:22004791	chr1:22110099	0.42
LDLRAD2	12956	chr1:22138758	chr1:22151714	0.54
HSPG2	115052	chr1:22148738	chr1:22263790	0.56
CELA3B	21621	chr1:22303514	chr1:22325135	0.50
CELA3A	10883	chr1:22328149	chr1:22339032	0.51
RP1-224A6.3	974	chr1:22350487	chr1:22351461	0.52
